ts	phase	decision	why	evidence	result
2026-08-23T12:14:43Z	frame	kept signing material and lint out of scope	user explicitly deferred both areas	user request	open
2026-08-23T12:14:43Z	frame	started from origin/master on bug/audit-hardening	keep the implementation isolated and reviewable	git branch --show-current	branch created
2026-08-23T12:18:00Z	baseline	built the unmodified debug app	separate existing build health from regressions introduced here	.\\gradlew.bat :app:assembleDebug	build green
2026-08-23T12:26:00Z	downloads	replaced truncating resume opens and ad-hoc segment locks with ordered bounded fetches	resume must keep committed bytes and playlist writes must stay in order	DownloadIoTest, source pattern check	focused tests and debug build green
2026-08-23T12:26:00Z	proxy	used standards-compliant Basic authorization in every backend	raw Base64 is not a valid Proxy-Authorization value	source pattern check	all matching call sites fixed
2026-08-23T13:18:00Z	network	bounded in-memory responses and streamed large media	untrusted response sizes must not exhaust the heap while clips still need full-file downloads	NetworkUtils callbacks/readBytesLimited, download services, JVM build	64 MiB byte-array cap, bounded OkHttp segments, and 8 GiB streaming cap compile and test
2026-08-23T13:18:00Z	websocket	replaced custom socket framing with OkHttp WebSocket and bounded its event queue	use the platform-tested RFC 6455 implementation while retaining reconnect/write/listener behavior	WebSocket.kt, debug launch	TLS defaults, cancellation, ping, 429 backoff, and overflow reconnect retained
2026-08-23T13:18:00Z	webview	limited integrity WebView state and cookie handling	prevent file access, mixed content, hostile main-frame navigation, and global cookie deletion	IntegrityDialog.kt	Twitch login/integrity flow remains the only allowed main-frame flow
2026-08-23T13:18:00Z	backup	added checksummed archive restore with atomic replacement	SAF inputs are untrusted and partial DB/prefs replacement must be recoverable	SettingsBackupTest, SettingsViewModel, connected debug launch	manifest, XXE defenses, bounded archive/proxy config, SQLite integrity, rollback, and legacy files preserved
2026-08-23T13:18:00Z	secrets	moved token/proxy string preferences behind Android Keystore encryption	credentials should not remain plaintext in SharedPreferences	KeystorePreferences.kt, JVM build	plaintext migration is retained; Android never persists a process-local fallback key
2026-08-23T13:18:00Z	updates	verified release APK metadata and SHA-256 before installation	release metadata and downloaded bytes must identify the same artifact	ReleaseParser, UpdateInstaller, workflow, UpdateDomainTest	optional digest is strict when present and legacy releases remain compatible
2026-08-23T13:18:00Z	database	added Room schema export and version 49 query indexes	critical download/history/search/notification queries need indexed access and future migrations need checked schemas	AppDatabaseMigrationTest (6 connected tests), schema 49 JSON	all migration cases pass
2026-08-23T13:18:00Z	lifecycle	rethrew coroutine cancellation before broad exception handling	cancelled work must stop instead of being reported as a failure and continuing	chat socket and notification/download paths, JVM build	build green; cancellation remains cooperative
2026-08-23T13:18:00Z	ci	pinned workflow actions, Gradle distribution, and Android Docker base	mutable build inputs undermine reproducibility and supply-chain review	workflow diffs, verification-metadata.xml, wrapper properties, Dockerfile.android	all builds pass with dependency verification enabled
2026-08-23T13:18:00Z	verification	kept signing key and lint out of scope	user explicitly deferred both areas	user request	no signing material or lint changes made
2026-08-23T13:18:00Z	verification	completed JVM/build, migration instrumentation, and emulator smoke checks	prove the actual artifact and historical DB paths, not only compilation	gradlew testDebugUnitTest assembleDebug; connected AppDatabaseMigrationTest; AVD xtra-api35 launch/logcat	all completed successfully; emulator stopped after smoke test
2026-08-23T13:42:00Z	review	independent terra-model review found and drove five follow-up fixes	cross-check the audit against an independent model before handoff	/root/audit_review message; current diff and audit TSV	bounded OkHttp reads, bounded manifest, proxy config round-trip, strict Keystore behavior, and bounded WebSocket queue completed; no unresolved flags
2026-08-23T14:10:00Z	review	accepted six maintainer review findings and one security consistency finding	merge blockers must be reproduced and fixed at their root causes	clean Gradle cache failure; review paths in WebSocket, SettingsViewModel, VideoDownloadService, and KeystorePreferences	verification metadata, proxy password clearing, reconnect semantics, Room-open recovery, staged restore rollback, bounded OkHttp streaming, and Keystore fail-closed behavior implemented
2026-08-23T14:10:00Z	verification	reproduced the clean-cache dependency verification failure before changing metadata	CI failure must be directly observed rather than inferred	gradlew --gradle-user-home .gradle-review-clean :app:testDebugUnitTest	four missing artifact checksums captured and regenerated from the isolated cache
2026-08-23T16:24:54Z	restore	added prepared/swapping/installed restore phases and startup rollback before Room	process death between rename loops must never allow Room to create a replacement database over both candidates	DatabaseRestoreRecoveryTest on xtra-api35	old-rename and mid-new-rename simulations restore every original file; installed swaps remain pending until completion
2026-08-23T16:24:54Z	cleanup	delete restore staging explicitly before every controlled process exit	exitProcess does not run the surrounding finally block, so large SAF copies could remain in cache	SettingsViewModel restore exit paths	all success, cancellation, and restart paths now remove staging first
2026-08-23T16:24:54Z	secrets	keep encrypted strings when the Android Keystore provider is unavailable	transient provider initialization must not be treated as corrupt ciphertext and erase credentials	KeystorePreferences getString/getStringSet symmetry; JVM build	fail-closed reads preserve the stored value for a later process
2026-08-23T17:27:44Z	ci	run DatabaseRestoreRecoveryTest in the instrumentation workflow	state-machine recovery coverage must remain enforced after local-only verification	.github/workflows/android.yml; connectedDebugAndroidTest on xtra-api35	workflow now invokes the recovery class; four tests pass locally
